Nom, Vietnamese translated by hcmus
旨傳歲季刷訟事例遞年十月御史󰉟送下該道輔送内外各衙門僃類所勘諸訟並詳註事由納在後次官俟刷󰍶以次輔納在御史󰉟御史󰉟亦類本衙門所勘諸訟及具類前次簿輔納待旨論行以僃黜陟,chỉ truyền tuế quý xoát tụng sự lệ đệ niên thập nguyệt ngự sử đài tống hạ cai đạo phụ tống nội ngoại các nha môn bị loại sở khám chư tụng tịnh tường chú sự do nạp tại hậu thứ quan sĩ xoát tất dĩ thứ phụ nạp tại ngự sử đài ngự sử đài diệc loại bản nha môn sở khám chư tụng cập cụ loại tiền thứ bạ phụ nạp đãi chỉ luận hành dĩ bị truất trắc
庚戌八年清康熙九年春三月火星入南斗〇,canh tuất bát niên thanh khang hi cửu niên xuân tam nguyệt hoả tinh nhập nam đẩu linh
月入南斗色赤〇,nguyệt nhập nam đẩu sắc xích linh
金星入太微〇,kim tinh nhập thái vi linh
命山南參政碧江子黎得全刑科都給事中陳春榜等賫論文徃諭順廣阮氏,mệnh sơn nam tham chính bích giang tử lê đắc toàn hình khoa đô cấp sự trung trần xuân bảng đẳng tê luận văn vãng dụ thuận quảng nguyễn thị
于時得全等奉命至布政日麗海門,vu thời đắc toàn đẳng phụng mệnh chí bố chính nhật lệ hải môn
使行人先𮞏䦕文通報,sử hành nhân tiên đệ quan văn thông báo
又以言詞徃復數四阮氏拒命不納,hựu dĩ ngôn từ vãng phục số tứ nguyễn thị cự mệnh bất nạp
得全等遂回京〇,đắc toàn đẳng toại hồi kinh linh
夏四月貶山南處憲察使黎𦤶平為海陽道監察御史以督押堤路科事未明故貶〇,hạ tứ nguyệt biếm sơn nam xứ hiến sát sứ lê trí bình vi hải dương đạo giám sát ngự sử dĩ đốc áp đê lộ khoa sự vị minh cố biếm linh
命禮部左侍郎阮國櫆吏部右侍郎鄧公瓆等陪侍經筵〇,mệnh lễ bộ tả thị lang nguyễn quốc khôi lại bộ hữu thị lang đặng công chất đẳng bồi thị kinh diên linh
五月不雨人多疫癘,ngũ nguyệt bất vũ nhân đa dịch lệ
上精心密禱仰祈天貺〇,thượng tinh tâm mật đảo ngưỡng kỳ thiên huống linh
旨傳凣奏給官田止許耕種本貫十畝其餘照收税錢不得濫耕〇,chỉ truyền phàm tấu cấp quan điền chỉ hứa canh chủng bản quán thập mẫu kì dư chiếu thu thuế tiền bất đắc lạm canh linh
六月以提督普郡公鄭檱爲都督僉事左校點禎祥侯黎時宲爲參督檱陶光饒之子奉賜姓鄭,lục nguyệt dĩ đề đốc phổ quận công trịnh ky vi đô đốc thiêm sự tả hiệu điểm trinh tường hầu lê thì chí vi tham đốc ky đào quang nhiêu chi tử phụng tứ tính trịnh
時宲黎時憲之子〇,thì chí lê thì hiến chi tử linh
貶山西參政武兼爲户科給事中以僃類堤路緩期故也〇,biếm sơn tây tham chính vũ kiêm vi hộ khoa cấp sự trung dĩ bị loại đê lộ hoãn kỳ cố dã linh
命少尉豪郡公黎時憲爲統率吏部右侍郎潤裔侯胡士揚爲督視将兵經畧宣光地方,mệnh thiếu uý hào quận công lê thời hiến vi thống suất lại bộ hữu thị lang nhuận duệ hầu hồ sĩ dương vi đốc thị tướng binh kinh lược tuyên quang địa phương
時宣光麻福長之子惠挺麻福蘭及其弟趁勝麻福淀聚眾刼掠方民騷擾上乃命時憲與參督詠郡公阮德霑等分道徃擊擒獲福蘭斬之福淀北奔入内地,thời tuyên quang ma phúc trường chi tử huệ đĩnh ma phúc lan cập kì đệ sấn thắng ma phúc điện tụ chúng kiếp lược phương dân tao nhiễu thượng nãi mệnh thời hiến dữ tham đốc vịnh quận công nguyễn đức triêm đẳng phân đạo vãng kích cầm hoạch phúc lan trảm chi phúc điện bắc bôn nhập nội địa
時憲等乃安集州民而回〇,thời hiến đẳng nãi an tập châu dân nhi hồi linh
秋七月以陳興學爲參督朝潤侯陳興讓爲署衛事朝憲侯以其能糾率,thu thất nguyệt dĩ trần hưng học vi tham đốc triều nhuận hầu trần hưng nhượng vi thự vệ sự triều hiến hầu dĩ kì năng kiểu suất
鄕兵襲擊賊黨再隨軍討賊故論堅義功乃許之〇,hương binh tập kích tặc đảng tái tuỳ quân thảo tặc cố luận kiên nghĩa công nãi hứa chi linh
贈工部尙書派郡公阮道安爲少保追念其奉侍王潜邸講學故贈之道安慈廉福演人〇,tặng công bộ thượng thư phái quận công nguyễn đạo an vi thiếu bảo truy niệm kì phụng thị vương tiềm để giảng học cố tặng chi đạo an từ liêm phúc diễn nhân linh
九月鄕試各處士人〇,cửu nguyệt hương thí các xứ sĩ nhân linh
旨傳分補鄕試塲供頓事例凣某縣有應除某社民許二司照本處各縣平補共受以均力役〇,chỉ truyền phân bổ hương thí trường cung đốn sự lệ phàm mỗ huyện hữu ứng trừ mỗ xã dân hứa nhị ti chiếu bản xứ các huyện bình bổ cộng thụ dĩ quân lực dịch linh
冬十一月會試天下貢士取合格陳世榮等三十一名〇,đông thập nhất nguyệt hội thí thiên hạ cống sĩ thủ hợp cách trần thế vinh đẳng tam thập nhất danh linh
旨傳禁通同外國盗賣銃口〇,chỉ truyền cấm thông đồng ngoại quốc đạo mại súng khẩu linh
立賞告捕强盗令今後如有捉得强道并探得道刼殺人者重者賞以官職輕,lập thưởng cáo bổ cường đạo lệnh kim hậu như hữu tróc đắc cường đạo tịnh thám đắc đạo kiếp sát nhân giả trọng giả thưởng dĩ quan chức khinh
者賞以銀錢或饒官役,giả thưởng dĩ ngân tiền hoặc nhiêu quan dịch
其寓藏停止以盗刼罪之或罪人在迯知情容養者按律論行〇,kì ngụ tàng đình chỉ dĩ đạo kiếp tội chi hoặc tội nhân tại đào tri tình dung dưỡng giả án luật luận hành linh
十二月以署衛事舒泰侯阮仕健爲參督工科都給事中黎公朝爲禮科都給事中以其奉差開例爲民所保故也,thập nhị nguyệt dĩ thự vệ sự thư thái hầu nguyễn sĩ kiện vi tham đốc công khoa đô cấp sự trung lê công triều vi lễ khoa đô cấp sự trung dĩ kì phụng sai khai lệ vi dân sở bảo cố dã
辛亥九年清康熙十年春正月殿試,tân hợi cửu niên thanh khang hi thập niên xuân chính nguyệt điện thí
賜劉名公進士及第第一名韶仕琳進士及第第三名黎有名武廷臨進士出身黎䧺稱等二十七名並同進士出身〇,tứ lưu danh công tiến sĩ cập đệ đệ nhất danh thiều sĩ lâm tiến sĩ cập đệ đệ tam danh lê hữu danh vũ đình lâm tiến sĩ xuất thân lê hùng xưng đẳng nhị thập thất danh tịnh đồng tiến sĩ xuất thân linh
二月命官閲選四鎮另兵補入隊伍,nhị nguyệt mệnh quan duyệt tuyển tứ trấn lánh binh bổ nhập đội ngũ
時,thì
加教習以後年大舉〇,gia giáo tập dĩ hậu niên đại cử linh
夏四月兵部尙書頴郡公阮悌致仕,hạ tứ nguyệt binh bộ thượng thư dĩnh quận công nguyễn đễ trí sĩ
加陞少保,gia thăng thiếu bảo
悌時七十八〇,đễ thời thất thập bát linh
秋七月命朝臣各舉所知凣有學行政術堪爲守令者二品舉四人三品至五品舉三人六品至八品舉二人各以名聞付吏部銓除任職,thu thất nguyệt mệnh triều thần các cử sở tri phàm hữu học hành chính thuật kham vi thủ lệnh giả nhị phẩm cử tứ nhân tam phẩm chí ngũ phẩm cử tam nhân lục phẩm chí bát phẩm cử nhị nhân các dĩ danh văn phó lại bộ thuyên trừ nhiệm chức
舉得其人者議加奬賞如見或負所薦肆爲貪墨許先陳言免其連坐,cử đắc kì nhân giả nghị gia tưởng thưởng như kiến hoặc phụ sở tiến tứ vi tham mặc hứa tiên trần ngôn miễn kì liên toạ
若隱不以聞罪亦如之〇,nhược ẩn bất dĩ văn tội diệc như chi linh
八月己酉朔日有食之〇,bát nguyệt kỷ dậu sóc nhật hữu thực chi linh
清朝平西親王欽旨委開化鎮標遊擊曹知府劉解送迯罪人麻福淀,thanh triều bình tây thân vương khâm chỉ uỷ khai hoá trấn tiêu du kích tào tri phủ lưu giải tống đào tội nhân ma phúc điện
并伊家人就交界,tịnh y gia nhân tựu giao giới
乃差官領回與麻福長並誅之〇,nãi sai quan lĩnh hồi dữ ma phúc trường tịnh tru chi linh
九月命兵部左侍郎黎仕澈吏部右侍郎鄧公瓆等考課内外各衙門,cửu nguyệt mệnh binh bộ tả thị lang lê sĩ triệt lại bộ hữu thị lang đặng công chất đẳng khảo khoá nội ngoại các nha môn
時同存澤獨任都御史勘訟多有逾期以是罷職〇,thời đồng tồn trạch độc nhiệm đô ngự sử khám tụng đa hữu du kỳ dĩ thị bãi chức linh
冬十月十五日帝崩,đông thập nguyệt thập ngũ nhật đế băng
羣臣上尊號曰豁達睿聰剛毅中正温柔和樂欽明文思允恭克讓穆皇帝廟號玄宗〇,quần thần thượng tôn hiệu viết khoát đạt duệ thông cương nghị trung chính ôn nhu hoà lạc khâm minh văn tư doãn cung khắc nhượng mục hoàng đế miếu hiệu huyền tông linh
十一月十三日奉玄宗穆皇帝梓宫回塟于宲盛陵立乾龍殿奉事之從皇太后鄕也〇,thập nhất nguyệt thập tam nhật phụng huyền tông mục hoàng đế tử cung hồi táng vu chí thịnh lăng lập càn long điện phụng sự chi tòng hoàng thái hậu hương dã linh
初神宗崩皇次子惟檜時方二歲王與正妃鄭氏,sơ thần tông băng hoàng thứ tử duy cối thời phương nhị tuế vương dữ chính phi trịnh thị
玉瓏養之府忠涵養薰陶成就德性,ngọc lung dưỡng chi phủ trung hàm dưỡng huân đào thành tựu đức tính
至是玄宗崩無嗣王乃旨諭節制府及大臣文武百官曰我聞天下者皇朝聖祖神宗之天下,chí thị huyền tông băng vô tự vương nãi chỉ dụ tiết chế phủ cập đại thần văn võ bách quan viết ngã văn thiên hạ giả hoàng triều thánh tổ thần tông chi thiên hạ
󰟸遭國運中衰𦤶使莫姦上僣時我先祖考奮起義旅推尊夾輔列聖皇帝掃除莫氏收復京城開拓封疆尊安國勢好通北國王爵普封,khỉnh tao quốc vận trung suy trí sử mạc gian thượng tiếm thì ngã tiên tổ khảo phấn khởi nghĩa lữ suy tôn giáp phụ liệt thánh hoàng đế tảo trừ mạc thị thu phục kinh thành khai thác phong cương tôn an quốc thế hảo thông bắc quốc vương tước phổ phong
兹我承祖宗功德之傳任社稷生民之寄篤忠貞大節照精白一心纘修先緒保安皇家,tư ngã thừa tổ tông công đức chi truyền nhiệm xã tắc sinh dân chi ký đốc trung trinh đại tiết chiếu tinh bạch nhất tâm toản tu tiên tự bảo an hoàng gia
當神宗淵皇帝在御則協恭同寅懋勉政事夙夜謀慮興致太平,đương thần tông uyên hoàng đế tại ngự tắc hiệp cung đồng dần mậu miễn chính sự túc dạ mưu lự hưng trí thái bình
迨神宗淵皇帝陟方則亨屯濟蹇左扶右持明言用保弘濟艱難尊立大行皇帝於幼冲嗣位之初薰陶聖德就将敬學聲名洋溢外方信義有孚上國寵以王章榮以金印居位垂有十年時和年豊民康物阜號令典刑煥然可述,đãi thần tông uyên hoàng đế trắc phương tắc hanh truân tế kiển tả phù hữu trì minh ngôn dụng bảo hoằng tế gian nạn tôn lập đại hành hoàng đế ư ấu xung tự vị chi sơ huân đào thánh đức tựu tương kính học thanh danh dương dật ngoại phương tín nghĩa hữu phu thượng quốc sủng dĩ vương chương vinh dĩ kim ấn cư vị thuỳ hữu thập niên thời hoà niên phong dân khang vật phụ hiệu lệnh điển hình hoán nhiên khả thuật
加以内平四海外讋百蠻,gia dĩ nội bình tứ hải ngoại triệp bách man
其土地之廣人民之眾親於昔時大有逕庭矣,kì thổ địa chi quảng nhân dân chi chúng thân ư tích thời đại hữu kính đình hĩ
詎意本年十月十五日大行皇帝上賓嗣承猶乏第念神噐至重惟先君之子有賢德者足以克堪,cự ý bản niên thập nguyệt thập ngũ nhật đại hành hoàng đế thượng tân tự thừa do phạp đệ niệm thần khí chí trọng duy tiên quân chi tử hữu hiền đức giả túc dĩ khắc kham
今皇弟黎維襘乃先,kim hoàng đệ lê duy quái nãi tiên
帝神宗淵皇帝之次子適值先帝於倦勤之日甫初二歲奉囑託阿保鞠育于府中蒙養匡救教導誘掖正言正道日使聞行兹年十有一德年俱長賢孝夙聞可承大統應尊立即皇帝位以副天下臣民之望,đế thần tông uyên hoàng đế chi thứ tử thích trị tiên đế ư quyện cần chi nhật phủ sơ nhị tuế phụng chúc thác a bảo cúc dục vu phủ trung mông dưỡng khuông cứu giáo đạo dụ dịch chính ngôn chính đạo nhật sử văn hành tư niên thập hữu nhất đức niên câu trưởng hiền hiếu túc văn khả thừa đại thống ưng tôn lập tức hoàng đế vị dĩ phó thiên hạ thần dân chi vọng
節制府暨大臣文武百官等當體我至意同心修輔夙夜祗勤各盡當爲以成致治之功以躋悠久之盛保永世惟帝惟王之業朂哉〇,tiết chế phủ kị đại thần văn võ bách quan đẳng đương thể ngã chí ý đồng tâm tu phụ túc dạ chi cần các tận đương vi dĩ thành trí trị chi công dĩ tê du cửu chi thịnh bảo vĩnh thế duy đế duy vương chi nghiệp húc tai linh
是月十九日丙寅王親率節制府暨大臣文武百官尊立皇弟維襘即皇帝位,thị nguyệt thập cửu nhật bính dần vương thân suất tiết chế phủ kị đại thần văn võ bách quan tôn lập hoàng đệ duy quái tức hoàng đế vị
以明年爲陽德元年,dĩ minh niên vi dương đức nguyên niên
